Alésoir;Machine;1;4;0;La pièce;18.4;4,00;0;0
Alésoir;Embout Machine;1;5;0;La pièce;10.11;1,00;0;1
Alésoir;Embout Machine;1;6;0;La pièce;21.31;3,00;0;2
Alésoir;Embout Machine;1;8;0;La pièce;24.17;3,00;0;3
Alésoir;Machine;0;10;0;La pièce;25.85;2,00;0;4
Alésoir;Machine;0;12;0;La pièce;34.89;1,00;0;5
Alésoir;Machine;0;14;1;La pièce;30.27;3,00;0;6
Alésoir;Machine;0;16;1;La pièce;31.23;4,00;0;7
Alésoir;Machine;0;18;1;La pièce;5.09;7,00;0;8
Alésoir;Machine;0;20;0;La pièce;19.28;3,00;0;9
Tarauds;Machine;0;M3;0;La pièce;4.31;4,00;0;10
Tarauds;Machine;0;M4 pas 70;0;La pièce;8.42;1,00;0;11
Tarauds;Machine;0;M5 pas 80;0;La pièce;11.81;1,00;0;12
Tarauds;Machine;0;M8 pas 1,25;0;La pièce;14.83;2,00;0;13
Tarauds;Machine;0;M10 pas 1,5;0;La pièce;14.55;1,00;0;14
Tarauds;Machine;0;12x175;0;La pièce;16.54;2,00;1;15
Tarauds;Machine;0;14x200;0;La pièce;7.35;1,00;1;16
Lames de scie;à metaux;0;350x32x1,6 Dts4;0;La pièce;15.93;5,00;0;17
Lames de scie;Machine;0;10Dts/cm L300;0;La pièce;1.42;19,00;0;18
