1;PLA;1.75;Black;0.8;16.90;1,00
2;PLA;1.75;Pink;0.8;16.90;2,00
3;PLA;1.75;Red;0.8;16.90;3,00
4;PLA;1.75;White;0.8;16.90;4,00
5;PLA;1.75;Blue;0.8;16.90;1,00
6;PLA;1.75;Neon Orange;0.8;16.90;1,00
7;PLA;1.75;Neon Yellow;0.8;16.90;2,00
8;PLA;1.75;Neon Green;0.8;16.90;1,00
9;PLA;1.75;T-red;1;18.80;1,00
10;PLA;1.75;T-purple;1;18.80;1,00
11;PLA;1.75;T-yellow;1;18.80;0,00
12;PLA;1.75;T-green;1;18.80;1,00
13;PLA;1.75;T-blue;1;18.80;1,00
14;PLA;1.75;Fluo orange;1;18.80;1,00
15;PLA;1.75;Bright red;1;18.80;0,00
16;PLA;1.75;Fushia;1;18.80;2,00
17;PLA;1.75;Pink;1;18.80;3,00
18;PLA;1.75;Purple;1;18.80;1,00
19;PLA;1.75;Skyblue;1;18.80;1,00
20;PLA;1.75;Black;1;18.80;1,00
21;PVA;1.75;Naturel;0.5;35.9;1,00
