Pétrole;le litre;3,26;13,00
White spirit;le litre;3,20;4,00
Alcool à brûler;le litre;1,85;15,00
Essence à la terebentine;le litre;6,46;9,00
Acetone;le litre;3,20;5,00
Diluant cellulosique;le litre;5,30;14,00
Usinex CG200/Décoltex DC28;le kg;2,54;20,00
Blasorun 5;le litre;18,29;6,00
Blasocut;le kg;10,24;208,00
Gliss 68 SW;le kg;2,40;20,00
Degrippant KF5/WD40;aérosol;9,41;9,00
Nettoyant Contact;aérosol;9,90;2,00
Absorbant végétal ignifugé - 40l;le sac;16,99;20,00
Papier d'essuyage;le rouleau;7,25;37,00
Pinceau pure Bristle 25,4mm;la pièce;1,30;5,00
Pinceaux à décrasser nylon larg.40;la pièce;1,37;4,00
Colle Cyanoacrylate;La pièce;2,46;15,00
